,index,customer_id,month,category,payment_type,spend
0,0,ATQCUS1371,July,Health & Wellness,Credit Card,1114.0
1,1,ATQCUS0368,October,Groceries,Credit Card,1466.0
2,2,ATQCUS0595,May,Health & Wellness,Credit Card,387.0
3,3,ATQCUS0667,October,Electronics,Credit Card,1137.0
4,6,ATQCUS2843,June,Entertainment,Credit Card,268.0
5,12,ATQCUS0108,September,Groceries,Credit Card,361.0
6,13,ATQCUS3883,May,Groceries,Credit Card,56.0
7,14,ATQCUS2594,October,Electronics,Credit Card,873.0
8,24,ATQCUS2026,July,Apparel,Credit Card,945.0
9,25,ATQCUS0394,June,Travel,Credit Card,1573.0
10,26,ATQCUS3907,August,Apparel,Credit Card,1079.0
11,28,ATQCUS1515,July,Bills,Credit Card,1179.0
12,29,ATQCUS0740,May,Bills,Credit Card,884.0
13,33,ATQCUS3174,September,Apparel,Credit Card,650.0
14,36,ATQCUS3785,May,Food,Credit Card,365.0
15,40,ATQCUS2847,July,Health & Wellness,Credit Card,1125.0
16,52,ATQCUS2795,September,Groceries,Credit Card,968.0
17,60,ATQCUS3997,September,Entertainment,Credit Card,187.0
18,62,ATQCUS0725,May,Apparel,Credit Card,89.0
19,66,ATQCUS2175,September,Groceries,Credit Card,1052.0
20,67,ATQCUS0163,October,Health & Wellness,Credit Card,766.0
21,69,ATQCUS1462,June,Apparel,Credit Card,278.0
22,74,ATQCUS3571,July,Travel,Credit Card,1390.0
23,75,ATQCUS2711,October,Entertainment,Credit Card,253.0
24,77,ATQCUS2362,May,Entertainment,Credit Card,290.0
25,87,ATQCUS0184,June,Entertainment,Credit Card,639.0
26,88,ATQCUS1351,June,Health & Wellness,Credit Card,1093.0
27,90,ATQCUS2325,August,Electronics,Credit Card,896.0
28,91,ATQCUS0669,May,Bills,Credit Card,937.0
29,102,ATQCUS1560,September,Food,Credit Card,539.0
30,103,ATQCUS2860,October,Bills,Credit Card,563.0
31,108,ATQCUS3696,September,Apparel,Credit Card,573.0
32,110,ATQCUS0269,August,Apparel,Credit Card,328.0
33,114,ATQCUS3732,May,Entertainment,Credit Card,463.0
34,115,ATQCUS2137,May,Apparel,Credit Card,532.0
35,116,ATQCUS2599,May,Travel,Credit Card,655.0
36,118,ATQCUS3991,August,Food,Credit Card,497.0
37,119,ATQCUS2014,July,Health & Wellness,Credit Card,601.0
38,124,ATQCUS3192,May,Bills,Credit Card,193.0
39,125,ATQCUS0689,August,Travel,Credit Card,1122.0
40,145,ATQCUS1396,October,Food,Credit Card,400.0
41,147,ATQCUS0889,September,Health & Wellness,Credit Card,534.0
42,148,ATQCUS0641,October,Bills,Credit Card,1594.0
43,149,ATQCUS2151,May,Food,Credit Card,690.0
44,155,ATQCUS1799,October,Bills,Credit Card,1873.0
45,156,ATQCUS1125,September,Apparel,Credit Card,410.0
46,157,ATQCUS2825,July,Health & Wellness,Credit Card,1194.0
47,160,ATQCUS1732,October,Apparel,Credit Card,149.0
48,162,ATQCUS0316,May,Apparel,Credit Card,332.0
49,165,ATQCUS1233,September,Health & Wellness,Credit Card,2705.0
