,property_id,check_in_date,room_category,successful_bookings,capacity,check_in_date_format
0,16559,01-May-22,RT1,25,30,2022-05-01
1,19562,01-May-22,RT1,28,30,2022-05-01
2,19563,01-May-22,RT1,23,30,2022-05-01
3,17558,01-May-22,RT1,13,19,2022-05-01
4,16558,01-May-22,RT1,18,19,2022-05-01
5,17560,01-May-22,RT1,28,40,2022-05-01
6,19558,01-May-22,RT1,25,40,2022-05-01
7,19560,01-May-22,RT1,23,26,2022-05-01
8,17561,01-May-22,RT1,22,26,2022-05-01
9,16560,01-May-22,RT1,24,34,2022-05-01
10,16561,01-May-22,RT1,16,18,2022-05-01
11,16562,01-May-22,RT1,20,31,2022-05-01
12,16563,01-May-22,RT1,36,41,2022-05-01
13,17559,01-May-22,RT1,26,32,2022-05-01
14,17562,01-May-22,RT1,12,20,2022-05-01
15,17563,01-May-22,RT1,21,25,2022-05-01
16,18558,01-May-22,RT1,11,15,2022-05-01
17,18559,01-May-22,RT1,29,42,2022-05-01
18,18561,01-May-22,RT1,31,33,2022-05-01
19,18562,01-May-22,RT1,34,38,2022-05-01
20,18563,01-May-22,RT1,18,27,2022-05-01
21,19559,01-May-22,RT1,18,24,2022-05-01
22,19561,01-May-22,RT1,25,36,2022-05-01
23,17564,01-May-22,RT1,9,16,2022-05-01
24,19562,01-May-22,RT2,23,23,2022-05-01
25,18563,01-May-22,RT2,21,29,2022-05-01
26,17561,01-May-22,RT2,32,36,2022-05-01
27,17558,01-May-22,RT2,38,50,2022-05-01
28,16562,01-May-22,RT2,30,43,2022-05-01
29,16561,01-May-22,RT2,24,24,2022-05-01
30,16558,01-May-22,RT2,21,22,2022-05-01
31,19560,01-May-22,RT2,37,38,2022-05-01
32,16563,01-May-22,RT2,37,38,2022-05-01
33,16559,01-May-22,RT2,35,41,2022-05-01
34,19559,01-May-22,RT2,32,41,2022-05-01
35,19558,01-May-22,RT2,25,39,2022-05-01
36,17559,01-May-22,RT2,34,39,2022-05-01
37,16560,01-May-22,RT2,25,34,2022-05-01
38,18562,01-May-22,RT2,33,34,2022-05-01
39,18559,01-May-22,RT2,29,44,2022-05-01
40,17563,01-May-22,RT2,40,44,2022-05-01
41,17562,01-May-22,RT2,19,30,2022-05-01
42,18558,01-May-22,RT2,21,30,2022-05-01
43,17564,01-May-22,RT2,25,40,2022-05-01
44,18561,01-May-22,RT2,35,40,2022-05-01
